Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0
Casa;Jardim Botânico;2;0;1;100;7000.0;;
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;
Apartamento;Vista Alegre;3;1;0;70;1200.0;;
Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0
Casa de Condomínio;Ramos;2;2;0;65;1000.0;;
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0
Flat;Botafogo;3;1;1;80;3800.0;1040.0;
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0
Apartamento;Olaria;3;1;0;68;1000.0;670.0;
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;
Flat;Leblon;1;0;0;56;4500.0;1900.0;1500.0
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;
Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;50;1500.0;250.0;
Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;
Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0
Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0
Conjunto Comercial/Sala;Centro;0;1;0;70;1900.0;1080.0;251.0
Conjunto Comercial/Sala;Jardim Botânico;0;1;0;50;4000.0;1160.0;200.0
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;0;0;84;1500.0;1546.0;
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0
Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0
Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0
Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0
Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0
Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0
Casa;Méier;2;0;0;51;1500.0;50.0;
Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;
Apartamento;Barra da Tijuca;2;1;1;70;;970.0;68.0
